Date,City,Country,Venue,Url
21 March 1970,Vancouver,Canada,Pacific Coliseum,https://en.wikipedia.org/wiki/Pacific_Coliseum
22 March 1970,Seattle,United States,Seattle Center Arena,https://en.wikipedia.org/wiki/Mercer_Arena
23 March 1970,Portland,United States,Memorial Coliseum,https://en.wikipedia.org/wiki/Memorial_Coliseum_(Portland)
25 March 1970,Denver,United States,Denver Coliseum,https://en.wikipedia.org/wiki/Denver_Coliseum
26 March 1970,Salt Lake City,United States,Salt Palace,https://en.wikipedia.org/wiki/Salt_Palace
27 March 1970,Inglewood,United States,The Forum,https://en.wikipedia.org/wiki/Los_Angeles_Forum
28 March 1970,Dallas,United States,Memorial Auditorium,https://en.wikipedia.org/wiki/Dallas_Memorial_Auditorium
29 March 1970,Houston,United States,Hofheinz Pavilion,https://en.wikipedia.org/wiki/Hofheinz_Pavilion
30 March 1970,Pittsburgh,United States,Civic Arena,https://en.wikipedia.org/wiki/Civic_Arena_(Pittsburgh)
31 March 1970,Philadelphia,United States,The Spectrum,https://en.wikipedia.org/wiki/Philadelphia_Spectrum
2 April 1970,Charleston,United States,Charleston Civic Center,https://en.wikipedia.org/wiki/Charleston_Civic_Center
3 April 1970,Macon,United States,Macon Coliseum,https://en.wikipedia.org/wiki/Macon_Coliseum
4 April 1970,Indianapolis,United States,Indiana State Fairgrounds Coliseum,https://en.wikipedia.org/wiki/Fairgrounds_Coliseum
5 April 1970,Baltimore,United States,Baltimore Civic Center,https://en.wikipedia.org/wiki/Baltimore_Civic_Center
7 April 1970,Charlotte,United States,Charlotte Coliseum,https://en.wikipedia.org/wiki/Bojangles%27_Coliseum
8 April 1970,Raleigh,United States,Dorton Auditorium,https://en.wikipedia.org/wiki/Dorton_Arena
9 April 1970,Tampa,United States,Curtis Hixon Hall,https://en.wikipedia.org/wiki/Curtis_Hixon_Hall
10 April 1970,Miami Beach,United States,Miami Beach Convention Center,https://en.wikipedia.org/wiki/Miami_Beach_Convention_Center
11 April 1970,St. Louis,United States,Kiel Auditorium,https://en.wikipedia.org/wiki/Kiel_Auditorium
12 April 1970,Bloomington,United States,Met Center,https://en.wikipedia.org/wiki/Met_Center
13 April 1970,Montreal,Canada,Montreal Forum,https://en.wikipedia.org/wiki/Montreal_Forum
14 April 1970,Ottawa,Canada,Ottawa Civic Centre,https://en.wikipedia.org/wiki/Ottawa_Civic_Centre
16 April 1970,Evansville,United States,Roberts Municipal Stadium,https://en.wikipedia.org/wiki/Roberts_Municipal_Stadium
17 April 1970,Memphis,United States,Mid-South Coliseum,https://en.wikipedia.org/wiki/Mid-South_Coliseum
18 April 1970,Phoenix,United States,Arizona Veterans Memorial Coliseum,https://en.wikipedia.org/wiki/Arizona_Veterans_Memorial_Coliseum
19 April 1970,Las Vegas,United States,Las Vegas Convention Center,https://en.wikipedia.org/wiki/Las_Vegas_Convention_Center
