Date,City,Country,Venue,Url
10 August 1970,Hampton,United States,Hampton Roads Coliseum,https://en.wikipedia.org/wiki/Hampton_Coliseum
15 August 1970,New Haven,United States,Yale Bowl,https://en.wikipedia.org/wiki/Yale_Bowl
19 August 1970,Kansas City,United States,Municipal Auditorium,"https://en.wikipedia.org/wiki/Municipal_Auditorium_(Kansas_City,_Missouri)"
20 August 1970,Oklahoma City,United States,State Fair Coliseum,https://en.wikipedia.org/wiki/Oklahoma_State_Fair_Arena
21 August 1970,Tulsa,United States,Assembly Center,https://en.wikipedia.org/wiki/Tulsa_Civic_Center
22 August 1970,Fort Worth,United States,Tarrant County Convention Center,https://en.wikipedia.org/wiki/Tarrant_County_Convention_Center
24 August 1970,St. Louis,United States,Kiel Auditorium,https://en.wikipedia.org/wiki/Kiel_Auditorium
25 August 1970,Nashville,United States,Nashville Municipal Auditorium,https://en.wikipedia.org/wiki/Nashville_Municipal_Auditorium
26 August 1970,Cleveland,United States,Public Auditorium,https://en.wikipedia.org/wiki/Public_Auditorium
28 August 1970,Detroit,United States,Olympia Stadium,https://en.wikipedia.org/wiki/Olympia_Stadium
29 August 1970,Winnipeg,Canada,"Man-Pop Festival, Winnipeg Arena ",https://en.wikipedia.org/wiki/Man-Pop_Festival
31 August 1970,Milwaukee,United States,Milwaukee Arena,https://en.wikipedia.org/wiki/Milwaukee_Arena
1 September 1970,Seattle,United States,Seattle Center Coliseum,https://en.wikipedia.org/wiki/Seattle_Center_Coliseum
2 September 1970,Oakland,United States,Oakland Coliseum,https://en.wikipedia.org/wiki/Oakland_Coliseum
3 September 1970,San Diego,United States,San Diego Sports Arena,https://en.wikipedia.org/wiki/San_Diego_Sports_Arena
4 September 1970,Inglewood,United States,The Forum,https://en.wikipedia.org/wiki/Los_Angeles_Forum
5 September 1970,Honolulu,United States,Neal S. Blaisdell Arena,https://en.wikipedia.org/wiki/Neal_S._Blaisdell_Arena
6 September 1970,Honolulu,United States,Neal S. Blaisdell Arena,https://en.wikipedia.org/wiki/Neal_S._Blaisdell_Arena
7 September 1970,Raleigh,United States,J.S Dorton Arena,https://en.wikipedia.org/wiki/Dorton_Arena
9 September 1970,Boston,United States,Boston Garden,https://en.wikipedia.org/wiki/Boston_Garden
12 September 1970,Cleveland,United States,Cleveland Public Hall,https://en.wikipedia.org/wiki/Public_Auditorium
14 September 1970,Rochester,United States,War Memorial Auditorium,https://en.wikipedia.org/wiki/Blue_Cross_Arena
17 September 1970,Philadelphia,United States,The Spectrum,https://en.wikipedia.org/wiki/Spectrum_(arena)
19 September 1970,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden
19 September 1970,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden
