Date,City,Country,Venue,Url
4 May 1973,Atlanta,United States,Atlanta–Fulton County Stadium,https://en.wikipedia.org/wiki/Atlanta–Fulton_County_Stadium
5 May 1973,Tampa,United States,Tampa Stadium,https://en.wikipedia.org/wiki/Tampa_Stadium
7 May 1973,Jacksonville,United States,Jacksonville Coliseum,https://en.wikipedia.org/wiki/Jacksonville_Coliseum
10 May 1973,Tuscaloosa,United States,Memorial Coliseum,https://en.wikipedia.org/wiki/Coleman_Coliseum
11 May 1973,St. Louis,United States,St. Louis Arena,https://en.wikipedia.org/wiki/St._Louis_Arena
13 May 1973,Mobile,United States,Municipal Auditorium,https://en.wikipedia.org/wiki/Mobile_Civic_Center
14 May 1973,New Orleans,United States,New Orleans Municipal Auditorium,https://en.wikipedia.org/wiki/New_Orleans_Municipal_Auditorium
16 May 1973,Houston,United States,Sam Houston Coliseum,https://en.wikipedia.org/wiki/Sam_Houston_Coliseum
18 May 1973,Dallas,United States,Dallas Memorial Auditorium,https://en.wikipedia.org/wiki/Dallas_Memorial_Auditorium
19 May 1973,Fort Worth,United States,Tarrant Country Convention Center,https://en.wikipedia.org/wiki/Fort_Worth_Convention_Center
22 May 1973,San Antonio,United States,Convention Center Arena,https://en.wikipedia.org/wiki/Convention_Center_Arena
23 May 1973,Albuquerque,United States,University Arena,https://en.wikipedia.org/wiki/The_Pit_(arena)
25 May 1973,Denver,United States,Denver Coliseum,https://en.wikipedia.org/wiki/Denver_Coliseum
26 May 1973,Salt Lake City,United States,Salt Palace,https://en.wikipedia.org/wiki/Salt_Palace_(arena)
28 May 1973,San Diego,United States,San Diego Sports Arena,https://en.wikipedia.org/wiki/San_Diego_Sports_Arena
31 May 1973,Inglewood,United States,The Forum,"https://en.wikipedia.org/wiki/The_Forum_(Inglewood,_California)"
2 June 1973,San Francisco[16],United States,Kezar Stadium,https://en.wikipedia.org/wiki/Kezar_Stadium
3 June 1973,Inglewood,United States,The Forum,"https://en.wikipedia.org/wiki/The_Forum_(Inglewood,_California)"
6 July 1973,Chicago,United States,Chicago Stadium,https://en.wikipedia.org/wiki/Chicago_Stadium
7 July 1973,Chicago,United States,Chicago Stadium,https://en.wikipedia.org/wiki/Chicago_Stadium
8 July 1973,Indianapolis,United States,Market Square Arena (unconfirmed),https://en.wikipedia.org/wiki/Market_Square_Arena
9 July 1973,Saint Paul,United States,St. Paul Civic Center,https://en.wikipedia.org/wiki/St._Paul_Civic_Center
10 July 1973,Milwaukee,United States,Milwaukee Arena,https://en.wikipedia.org/wiki/Milwaukee_Arena
12 July 1973,Detroit,United States,Cobo Hall,https://en.wikipedia.org/wiki/Cobo_Hall
13 July 1973,Detroit,United States,Cobo Hall,https://en.wikipedia.org/wiki/Cobo_Hall
15 July 1973,Buffalo,United States,Buffalo Memorial Auditorium,https://en.wikipedia.org/wiki/Buffalo_Memorial_Auditorium
17 July 1973,Seattle,United States,Seattle Center Coliseum,https://en.wikipedia.org/wiki/Seattle_Center_Coliseum
18 July 1973,Vancouver,Canada,Pacific Coliseum,https://en.wikipedia.org/wiki/Pacific_Coliseum
19 July 1973,Philadelphia,United States,The Spectrum,https://en.wikipedia.org/wiki/Spectrum_(arena)
20 July 1973,Boston,United States,Boston Garden,https://en.wikipedia.org/wiki/Boston_Garden
21 July 1973,Providence,United States,Providence Civic Center,https://en.wikipedia.org/wiki/Providence_Civic_Center
23 July 1973,Baltimore,United States,Baltimore Civic Center,https://en.wikipedia.org/wiki/Baltimore_Civic_Center
24 July 1973,Pittsburgh,United States,Three Rivers Stadium,https://en.wikipedia.org/wiki/Three_Rivers_Stadium
27 July 1973,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden
28 July 1973,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden
29 July 1973,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden
