Date,City,Country,Venue
17 January 1972,London,England,Rainbow Theatre
18 January 1972,London,England,Rainbow Theatre
19 January 1972,London,England,Rainbow Theatre
20 January 1972,Brighton,England,Brighton Dome
21 January 1972,Portsmouth,England,Portsmouth Guildhall
22 January 1972,Bournemouth,England,Bournemouth Winter Gardens
23 January 1972,Southampton,England,Southampton Guildhall
27 January 1972,Newcastle upon Tyne,England,Newcastle City Hall
28 January 1972,Leeds,England,Leeds City Varieties
3 February 1972,Coventry,England,Lanchester Polytechnic College Arts Festival – Locarno Ballroom
5 February 1972,Bristol,England,Colston Hall
10 February 1972,Leicester,England,De Montfort Hall
11 February 1972,Manchester,England,Free Trade Hall
12 February 1972,Sheffield,England,Sheffield City Hall
13 February 1972,Liverpool,England,Liverpool Empire Theatre
17 February 1972,London,England,Rainbow Theatre
18 February 1972,London,England,Rainbow Theatre
19 February 1972,London,England,Rainbow Theatre
20 February 1972,London,England,Rainbow Theatre
6 March 1972,Tokyo,Japan,Taiikukan
7 March 1972,Tokyo,Japan,Taiikukan
8 March 1972,Osaka,Japan,Festival Hall
9 March 1972,Osaka,Japan,Festival Hall
10 March 1972,Kyoto,Japan,Dai-Sho-Gun Furitsu Taiikukan
13 March 1972,Sapporo,Japan,Nakajima Sports Center
29 March 1972,Manchester,England,Free Trade Hall
30 March 1972,Manchester,England,Free Trade Hall
14 April 1972,Tampa,United States,Fort Homer W. Hesterly Armory
15 April 1972,Pembroke Pines,United States,Hollywood Sportatorium
16 April 1972,Columbia,United States,Township Auditorium
18 April 1972,Atlanta,United States,Atlanta Symphony Hall
20 April 1972,Pittsburgh,United States,Syria Mosque
21 April 1972,Baltimore,United States,Lyric Opera House
22 April 1972,Akron,United States,Akron Civic Theatre
23 April 1972,Cincinnati,United States,Music Hall
24 April 1972,Toledo,United States,Toledo Sports Arena
25 April 1972,Cleveland,United States,Allen Theatre
26 April 1972,Detroit,United States,Ford Auditorium
27 April 1972,Detroit,United States,Ford Auditorium
28 April 1972,Chicago,United States,Auditorium Theatre
29 April 1972,Philadelphia,United States,Spectrum
1 May 1972,New York City,United States,Carnegie Hall
2 May 1972,New York City,United States,Carnegie Hall
3 May 1972,"Washington, D.C.",United States,John F. Kennedy Center for the Performing Arts
4 May 1972,Boston,United States,Music Hall
18 May 1972,Berlin,West Germany,Deutschlandhalle
21 May 1972,Germersheim,West Germany,Second British Rock Meeting
22 May 1972,Amsterdam,Netherlands,Olympic Stadium
28 May 1972,Brighton,England,Brighton Dome
29 May 1972,Brighton,England,Brighton Dome
8 September 1972,Austin,United States,Austin Municipal Auditorium
9 September 1972,Houston,United States,Houston Music Hall
10 September 1972,Dallas,United States,McFarlin Memorial Auditorium
11 September 1972,Kansas City,United States,Memorial Hall
12 September 1972,Oklahoma City,United States,Civic Center Music Hall
13 September 1972,Wichita,United States,Levitt Arena
15 September 1972,Tucson,United States,Tucson Community Center
16 September 1972,San Diego,United States,Golden Hall
17 September 1972,Tempe,United States,Big Surf
19 September 1972,Denver,United States,University of Denver Arena
22 September 1972,Los Angeles,United States,Hollywood Bowl
23 September 1972,San Francisco,United States,Winterland Ballroom
24 September 1972,San Francisco,United States,Winterland Ballroom
27 September 1972,Vancouver,Canada,Winterland Ballroom
28 September 1972,Portland,United States,Memorial Coliseum
29 September 1972,Seattle,United States,Hec Edmundson Pavilion
30 September 1972,Vancouver,Canada,Vancouver Gardens
21 October 1972,London,England,Empire Pool
10 November 1972,Copenhagen,Denmark,K.B. Hallen
11 November 1972,Copenhagen,Denmark,K.B. Hallen
12 November 1972,Hamburg,West Germany,Ernst-Merck-Halle
14 November 1972,Düsseldorf,West Germany,Philips Halle
15 November 1972,Böblingen,West Germany,Sporthalle
16 November 1972,Frankfurt,West Germany,Festhalle Frankfort
17 November 1972,Frankfurt,West Germany,Festhalle Frankfort
22 November 1972,Marseille,France,"Salle Valliers, Roland Petit Ballet"
23 November 1972,Marseille,France,"Salle Valliers, Roland Petit Ballet"
24 November 1972,Marseille,France,"Salle Valliers, Roland Petit Ballet"
25 November 1972,Marseille,France,"Salle Valliers, Roland Petit Ballet"
26 November 1972,Marseille,France,"Salle Valliers, Roland Petit Ballet"
28 November 1972,Toulouse,France,Palais des Sports
29 November 1972,Poitiers,France,Parc des Expositions Les Arènes
1 December 1972,Saint-Ouen,France,Centre sportif de l'Île de Vannes
2 December 1972,Saint-Ouen,France,Centre sportif de l'Île de Vannes
3 December 1972,Caen,France,Palais des Expositions
5 December 1972,Brussels,Belgium,Forest National
7 December 1972,Lille,France,Palais des Sports
8 December 1972,Nancy,France,Parc de Expositions
9 December 1972,Zürich,Switzerland,Hallenstadion
10 December 1972,Lyon,France,Palais des Sports de Gerland
13 January 1973,Paris,France,"Palais des Sports, Roland Petit Ballet"
14 January 1973,Paris,France,"Palais des Sports, Roland Petit Ballet"
3 February 1973,Paris,France,"Palais des Sports, Roland Petit Ballet"
4 February 1973,Paris,France,"Palais des Sports, Roland Petit Ballet"
4 March 1973,Madison,United States,Dane County Coliseum
5 March 1973,Detroit,United States,Cobo Hall
6 March 1973,St. Louis,United States,Kiel Auditorium
7 March 1973,Chicago,United States,International Amphitheatre
8 March 1973,Cincinnati,United States,Armory Fieldhouse
10 March 1973,Kent,United States,Memorial Gym
11 March 1973,Toronto,Canada,Maple Leaf Gardens
12 March 1973,Montreal,Canada,Montreal Forum
14 March 1973,Boston,United States,Music Hall
15 March 1973,Philadelphia,United States,Spectrum
17 March 1973,New York City,United States,Radio City Music Hall
18 March 1973,Waterbury,United States,Palace Theater
19 March 1973,Providence,United States,Providence Civic Center
21 March 1973,Sharpsburg,United States,Antietam Battlefield
22 March 1973,Hampton,United States,Hampton Coliseum
23 March 1973,Charlotte,United States,Charlotte Park Center
24 March 1973,Atlanta,United States,Municipal Auditorium
18 May 1973,London,England,Earls Court
19 May 1973,London,England,Earls Court
17 June 1973,Saratoga Springs,United States,Saratoga Performing Arts Center
18 June 1973,Jersey City,United States,Roosevelt Stadium
19 June 1973,Pittsburgh,United States,Civic Arena
20 June 1973,Columbia,United States,Merriweather Post Pavilion
21 June 1973,Columbia,United States,Merriweather Post Pavilion
22 June 1973,Buffalo,United States,Buffalo Memorial Auditorium
23 June 1973,Detroit,United States,Olympia Stadium
24 June 1973,Cuyahoga Falls,United States,Blossom Music Center
25 June 1973,Louisville,United States,Louisville Gardens
26 June 1973,Jonesboro,United States,Lake Spivey Park
27 June 1973,Jacksonville,United States,Jacksonville Veterans Memorial Coliseum
28 June 1973,Pembroke Pines,United States,Hollywood Sportatorium
29 June 1973,Tampa,United States,Tampa Stadium
