Date,City,Country,Venue,Url,Venue Capacity,Attendance,Estimated?,Coordinates,ImageUrl,Source
23 January 1977,Dortmund,West Germany,Westfalenhallen,https://en.wikipedia.org/wiki/Westfalenhallen,,,,,,
24 January 1977,Dortmund,West Germany,Westfalenhallen,https://en.wikipedia.org/wiki/Westfalenhallen,,,,,,
26 January 1977,Frankfurt,West Germany,Festhalle Frankfurt,https://en.wikipedia.org/wiki/Festhalle_Frankfurt,,,,,,
27 January 1977,Frankfurt,West Germany,Festhalle Frankfurt,https://en.wikipedia.org/wiki/Festhalle_Frankfurt,,,,,,
29 January 1977,West Berlin,West Germany,Deutschlandhalle,https://en.wikipedia.org/wiki/Deutschlandhalle,,,,,,
30 January 1977,West Berlin,West Germany,Deutschlandhalle,https://en.wikipedia.org/wiki/Deutschlandhalle,,,,,,
1 February 1977,Vienna,Austria,Stadthalle,https://en.wikipedia.org/wiki/Wiener_Stadthalle,,,,,,
3 February 1977,Zürich,Switzerland,Hallenstadion,https://en.wikipedia.org/wiki/Hallenstadion,,,,,,
4 February 1977,Zürich,Switzerland,Hallenstadion,https://en.wikipedia.org/wiki/Hallenstadion,,,,,,
17 February 1977,Rotterdam,Netherlands,Rotterdam Ahoy Sportpaleis,https://en.wikipedia.org/wiki/Rotterdam_Ahoy,,,,,,
18 February 1977,Rotterdam,Netherlands,Rotterdam Ahoy Sportpaleis,https://en.wikipedia.org/wiki/Rotterdam_Ahoy,,,,,,
19 February 1977,Rotterdam,Netherlands,Rotterdam Ahoy Sportpaleis,https://en.wikipedia.org/wiki/Rotterdam_Ahoy,,,,,,
20 February 1977,Antwerp,Belgium,Sportpaleis,https://en.wikipedia.org/wiki/Sportpaleis,,,,,,
22 February 1977,Paris,France,Pavillon de Paris,https://en.wikipedia.org/wiki/Pavillon_de_Paris,,,,,,
23 February 1977,Paris,France,Pavillon de Paris,https://en.wikipedia.org/wiki/Pavillon_de_Paris,,,,,,
24 February 1977,Paris,France,Pavillon de Paris,https://en.wikipedia.org/wiki/Pavillon_de_Paris,,,,,,
25 February 1977,Paris,France,Pavillon de Paris,https://en.wikipedia.org/wiki/Pavillon_de_Paris,,,,,,
27 February 1977,Munich,West Germany,Olympiahalle,https://en.wikipedia.org/wiki/Olympiahalle,,,,,,
28 February 1977,Munich,West Germany,Olympiahalle,https://en.wikipedia.org/wiki/Olympiahalle,,,,,,
1 March 1977,Munich,West Germany,Olympiahalle,https://en.wikipedia.org/wiki/Olympiahalle,,,,,,
15 March 1977,London,England,Empire Pool,https://en.wikipedia.org/wiki/Wembley_Arena,,,,,,
16 March 1977,London,England,Empire Pool,https://en.wikipedia.org/wiki/Wembley_Arena,,,,,,
17 March 1977,London,England,Empire Pool,https://en.wikipedia.org/wiki/Wembley_Arena,,,,,,
18 March 1977,London,England,Empire Pool,https://en.wikipedia.org/wiki/Wembley_Arena,,,,,,
19 March 1977,London,England,Empire Pool,https://en.wikipedia.org/wiki/Wembley_Arena,,,,,,
28 March 1977,Stafford,England,New Bingley Hall,https://en.wikipedia.org/wiki/New_Bingley_Hall,,,,,,
29 March 1977,Stafford,England,New Bingley Hall,https://en.wikipedia.org/wiki/New_Bingley_Hall,,,,,,
30 March 1977,Stafford,England,New Bingley Hall,https://en.wikipedia.org/wiki/New_Bingley_Hall,,,,,,
31 March 1977,Stafford,England,New Bingley Hall,https://en.wikipedia.org/wiki/New_Bingley_Hall,,,,,,
22 April 1977,Miami,United States,Miami Baseball Stadium,https://en.wikipedia.org/wiki/Miami_Stadium,,,,,,
24 April 1977,"Tampa, Florida",United States,Tampa Stadium,https://en.wikipedia.org/wiki/Tampa_Stadium,,,,,,
26 April 1977,Atlanta,United States,Omni Coliseum,https://en.wikipedia.org/wiki/Omni_Coliseum,,,,,,
28 April 1977,"Baton Rouge, Louisiana",United States,LSU Assembly Center,https://en.wikipedia.org/wiki/LSU_Assembly_Center,,,,,,
30 April 1977,Houston,United States,Jeppesen Stadium,https://en.wikipedia.org/wiki/Jeppesen_Stadium,,,,,,
1 May 1977,"Fort Worth, Texas",United States,Tarrant County Convention Center,https://en.wikipedia.org/wiki/Tarrant_County_Convention_Center,,,,,,
4 May 1977,"Phoenix, Arizona",United States,Arizona Veterans Memorial Coliseum,https://en.wikipedia.org/wiki/Arizona_Veterans_Memorial_Coliseum,,,,,,
6 May 1977,"Anaheim, California",United States,Anaheim Stadium,https://en.wikipedia.org/wiki/Anaheim_Stadium,,,,,,
7 May 1977,"Anaheim, California",United States,Anaheim Stadium,https://en.wikipedia.org/wiki/Anaheim_Stadium,,,,,,
9 May 1977,"Oakland, California",United States,Oakland–Alameda County Coliseum,https://en.wikipedia.org/wiki/Oakland–Alameda_County_Coliseum,,,,,,
10 May 1977,"Oakland, California",United States,Oakland–Alameda County Coliseum,https://en.wikipedia.org/wiki/Oakland–Alameda_County_Coliseum,,,,,,
12 May 1977,"Portland, Oregon",United States,Memorial Coliseum,https://en.wikipedia.org/wiki/Memorial_Coliseum_(Portland),,,,,,
15 June 1977,Milwaukee,United States,County Stadium,https://en.wikipedia.org/wiki/County_Stadium,,,,,,
17 June 1977,"Louisville, Kentucky",United States,Freedom Hall,https://en.wikipedia.org/wiki/Freedom_Hall,,,,,,
19 June 1977,Chicago,United States,Soldier Field,https://en.wikipedia.org/wiki/Soldier_Field,,,,,,
21 June 1977,"Kansas City, Missouri",United States,Kemper Arena,https://en.wikipedia.org/wiki/Kemper_Arena,,,,,,
23 June 1977,Cincinnati,United States,Riverfront Coliseum,https://en.wikipedia.org/wiki/Riverfront_Coliseum,,,,,,
25 June 1977,Cleveland,United States,Municipal Stadium (World Series of Rock),https://en.wikipedia.org/wiki/Cleveland_Stadium,,,,,,
27 June 1977,Boston,United States,Boston Garden,https://en.wikipedia.org/wiki/Boston_Garden,,,,,,
28 June 1977,Philadelphia,United States,The Spectrum,https://en.wikipedia.org/wiki/Spectrum_(arena),,,,,,
29 June 1977,Philadelphia,United States,The Spectrum,https://en.wikipedia.org/wiki/Spectrum_(arena),,,,,,
1 July 1977,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden,,,,,,
2 July 1977,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden,,,,,,
3 July 1977,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden,,,,,,
4 July 1977,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden,,,,,,
6 July 1977,Montreal,Canada,Olympic Stadium,https://en.wikipedia.org/wiki/Olympic_Stadium_(Montreal),,,,,,
