Date,City,Country,Venue,Url
4 March 1971,Newcastle upon Tyne,England,Newcastle City Hall ,https://en.wikipedia.org/wiki/Newcastle_City_Hall
4 March 1971,Newcastle upon Tyne,England,Newcastle City Hall ,https://en.wikipedia.org/wiki/Newcastle_City_Hall
5 March 1971,Manchester,England,Free Trade Hall ,https://en.wikipedia.org/wiki/Free_Trade_Hall
5 March 1971,Manchester,England,Free Trade Hall ,https://en.wikipedia.org/wiki/Free_Trade_Hall
6 March 1971,Coventry,England,Criterion Theatre ,https://en.wikipedia.org/wiki/Criterion_Theatre_(Coventry)
6 March 1971,Coventry,England,Criterion Theatre ,https://en.wikipedia.org/wiki/Criterion_Theatre_(Coventry)
8 March 1971,Glasgow,Scotland,Greens Playhouse ,https://en.wikipedia.org/wiki/Greens_Playhouse
8 March 1971,Glasgow,Scotland,Greens Playhouse ,https://en.wikipedia.org/wiki/Greens_Playhouse
9 March 1971,Bristol,England,Colston Hall ,https://en.wikipedia.org/wiki/Colston_Hall
9 March 1971,Bristol,England,Colston Hall ,https://en.wikipedia.org/wiki/Colston_Hall
10 March 1971,Brighton,England,Regent Cinema ,https://en.wikipedia.org/wiki/Regent_Cinema
10 March 1971,Brighton,England,Regent Cinema ,https://en.wikipedia.org/wiki/Regent_Cinema
12 March 1971,Liverpool,England,Liverpool Empire Theatre ,https://en.wikipedia.org/wiki/Liverpool_Empire_Theatre
12 March 1971,Liverpool,England,Liverpool Empire Theatre ,https://en.wikipedia.org/wiki/Liverpool_Empire_Theatre
13 March 1971,Leeds,England,University Refectory ,https://en.wikipedia.org/wiki/University_Refectory
14 March 1971,London,England,Roundhouse ,https://en.wikipedia.org/wiki/Roundhouse_(venue)
14 March 1971,London,England,Roundhouse ,https://en.wikipedia.org/wiki/Roundhouse_(venue)
26 March 1971,London,England,Marquee Club ,https://en.wikipedia.org/wiki/Marquee_Club
