Date,City,Country,Venue,Url
1 September 1973,Vienna ,Austria ,Wiener Stadthalle ,https://en.wikipedia.org/wiki/Wiener_Stadthalle
3 September 1973,Mannheim ,Germany ,Eisstadion am Friedrichspark ,https://en.wikipedia.org/wiki/Eisstadion_am_Friedrichspark
4 September 1973,Cologne ,Germany ,Sporthalle ,https://en.wikipedia.org/wiki/Sporthalle_(Cologne)
5 September 1973,Cologne ,Germany ,Sporthalle ,https://en.wikipedia.org/wiki/Sporthalle_(Cologne)
7 September 1973,London ,England ,Empire Pool ,https://en.wikipedia.org/wiki/Wembley_Arena
8 September 1973,London ,England ,Empire Pool ,https://en.wikipedia.org/wiki/Wembley_Arena
8 September 1973,London ,England ,Empire Pool ,https://en.wikipedia.org/wiki/Wembley_Arena
9 September 1973,London ,England ,Empire Pool ,https://en.wikipedia.org/wiki/Wembley_Arena
11 September 1973,Manchester ,England ,Kings Hall ,"https://en.wikipedia.org/wiki/Kings_Hall,_Manchester"
12 September 1973,Manchester ,England ,Kings Hall ,"https://en.wikipedia.org/wiki/Kings_Hall,_Manchester"
13 September 1973,Newcastle upon Tyne ,England ,Newcastle City Hall ,https://en.wikipedia.org/wiki/Newcastle_City_Hall
14 September 1973,Newcastle upon Tyne ,England ,Newcastle City Hall ,https://en.wikipedia.org/wiki/Newcastle_City_Hall
16 September 1973,Glasgow ,Scotland ,The Apollo ,https://en.wikipedia.org/wiki/The_Apollo_(Glasgow)
17 September 1973,Glasgow ,Scotland ,The Apollo ,https://en.wikipedia.org/wiki/The_Apollo_(Glasgow)
19 September 1973,Birmingham ,England,Odeon Theatre,
20 September 1973,Birmingham ,England,Odeon Theatre,
23 September 1973,Innsbruck ,Austria,Olympiahalle ,https://en.wikipedia.org/wiki/Olympiahalle_(Innsbruck)
25 September 1973,Bern ,Switzerland ,Festhalle,
26 September 1973,Bern ,Switzerland ,Festhalle,
27 September 1973,Bern ,Switzerland ,Festhalle,
28 September 1973,Munich ,Germany,Olympiahalle ,https://en.wikipedia.org/wiki/Olympiahalle
29 September 1973,Munich ,Germany,Olympiahalle ,https://en.wikipedia.org/wiki/Olympiahalle
30 September 1973,Frankfurt ,Germany,Festhalle Frankfurt ,https://en.wikipedia.org/wiki/Festhalle_Frankfurt
30 September 1973,Frankfurt ,Germany,Festhalle Frankfurt ,https://en.wikipedia.org/wiki/Festhalle_Frankfurt
2 October 1973,Hamburg ,Germany,Ernst-Merck-Halle ,https://en.wikipedia.org/wiki/Ernst-Merck-Halle
2 October 1973,Hamburg ,Germany,Ernst-Merck-Halle ,https://en.wikipedia.org/wiki/Ernst-Merck-Halle
4 October 1973,Aarhus ,Denmark ,Vejlby-Risskov Hallen ,https://en.wikipedia.org/wiki/Vejlby-Risskov_Hallen
4 October 1973,Aarhus ,Denmark ,Vejlby-Risskov Hallen ,https://en.wikipedia.org/wiki/Vejlby-Risskov_Hallen
6 October 1973,Gothenburg ,Sweden ,Scandinavium ,https://en.wikipedia.org/wiki/Scandinavium
6 October 1973,Gothenburg ,Sweden ,Scandinavium ,https://en.wikipedia.org/wiki/Scandinavium
7 October 1973,Copenhagen ,Denmark,BrÃ¸ndbyhallen ,https://en.wikipedia.org/wiki/Brøndbyhallen
7 October 1973,Copenhagen ,Denmark,BrÃ¸ndbyhallen ,https://en.wikipedia.org/wiki/Brøndbyhallen
9 October 1973,Essen ,Germany,Grugahalle ,https://en.wikipedia.org/wiki/Grugahalle
10 October 1973,Essen ,Germany,Grugahalle ,https://en.wikipedia.org/wiki/Grugahalle
11 October 1973,Essen ,Germany,Grugahalle ,https://en.wikipedia.org/wiki/Grugahalle
13 October 1973,Rotterdam ,Netherlands ,Sportpalais ,https://en.wikipedia.org/wiki/Rotterdam_Ahoy
14 October 1973,Rotterdam ,Netherlands ,Sportpalais ,https://en.wikipedia.org/wiki/Rotterdam_Ahoy
14 October 1973,Rotterdam ,Netherlands ,Sportpalais ,https://en.wikipedia.org/wiki/Rotterdam_Ahoy
15 October 1973,Antwerp ,Belgium ,Sportpaleis ,https://en.wikipedia.org/wiki/Sportpaleis
17 October 1973,Brussels ,Belgium ,Forest National ,https://en.wikipedia.org/wiki/Forest_National
17 October 1973,Brussels ,Belgium ,Forest National ,https://en.wikipedia.org/wiki/Forest_National
19 October 1973,Berlin ,Germany,Deutschlandhalle ,https://en.wikipedia.org/wiki/Deutschlandhalle
