Date,City,Country,Venue,Url
28 April 1976,Frankfurt,Germany,Festhalle,https://en.wikipedia.org/wiki/Festhalle_Frankfurt
29 April 1976,Frankfurt,Germany,Festhalle,https://en.wikipedia.org/wiki/Festhalle_Frankfurt
30 April 1976,Münster,Germany,Halle Münsterland,https://en.wikipedia.org/wiki/Halle_Munsterland
2 shows,Münster,Germany,Halle Münsterland,https://en.wikipedia.org/wiki/Halle_Munsterland
2 May 1976,Kiel,Germany,Ostseehalle,https://en.wikipedia.org/wiki/Ostseehalle
3 May 1976,Berlin,Germany,Deutschlandhalle,https://en.wikipedia.org/wiki/Deutschlandhalle
4 May 1976,Bremen,Germany,Stadthalle,https://en.wikipedia.org/wiki/Bremen-Arena
6 May 1976,Brussels,Belgium,Forest National,https://en.wikipedia.org/wiki/Forest_National
7 May 1976,Brussels,Belgium,Forest National,https://en.wikipedia.org/wiki/Forest_National
10 May 1976,Glasgow,Scotland,Apollo Theatre,https://en.wikipedia.org/wiki/The_Apollo_(Glasgow)
11 May 1976,Glasgow,Scotland,Apollo Theatre,https://en.wikipedia.org/wiki/The_Apollo_(Glasgow)
12 May 1976,Glasgow,Scotland,Apollo Theatre,https://en.wikipedia.org/wiki/The_Apollo_(Glasgow)
14 May 1976,Leicester,England,Granby Halls,https://en.wikipedia.org/wiki/Granby_Halls
15 May 1976,Leicester,England,Granby Halls,https://en.wikipedia.org/wiki/Granby_Halls
17 May 1976,Stafford,England,New Bingley Hall,
18 May 1976,Stafford,England,New Bingley Hall,
21 May 1976,London,England,Earls Court,https://en.wikipedia.org/wiki/Earls_Court_Exhibition_Centre
22 May 1976,London,England,Earls Court,https://en.wikipedia.org/wiki/Earls_Court_Exhibition_Centre
23 May 1976,London,England,Earls Court,https://en.wikipedia.org/wiki/Earls_Court_Exhibition_Centre
25 May 1976,London,England,Earls Court,https://en.wikipedia.org/wiki/Earls_Court_Exhibition_Centre
26 May 1976,London,England,Earls Court,https://en.wikipedia.org/wiki/Earls_Court_Exhibition_Centre
27 May 1976,London,England,Earls Court,https://en.wikipedia.org/wiki/Earls_Court_Exhibition_Centre
29 May 1976,The Hague,Netherlands,Zuiderpark Stadion,https://en.wikipedia.org/wiki/Zuiderpark_Stadion
30 May 1976,The Hague,Netherlands,Zuiderpark Stadion,https://en.wikipedia.org/wiki/Zuiderpark_Stadion
1 June 1976,Dortmund,Germany,Westfalenhalle,https://en.wikipedia.org/wiki/Westfalenhalle
2 June 1976,Cologne,Germany,Sporthalle,https://en.wikipedia.org/wiki/Sporthalle_(Cologne)
2 shows,Cologne,Germany,Sporthalle,https://en.wikipedia.org/wiki/Sporthalle_(Cologne)
4 June 1976,Paris,France,Pavillon de Paris (Les Abattoirs),https://en.wikipedia.org/wiki/Pavillon_de_Paris
5 June 1976,Paris,France,Pavillon de Paris (Les Abattoirs),https://en.wikipedia.org/wiki/Pavillon_de_Paris
6 June 1976,Paris,France,Pavillon de Paris (Les Abattoirs),https://en.wikipedia.org/wiki/Pavillon_de_Paris
7 June 1976,Paris,France,Pavillon de Paris (Les Abattoirs),https://en.wikipedia.org/wiki/Pavillon_de_Paris
9 June 1976,Lyon,France,Palais des Sports de Gerland,https://en.wikipedia.org/wiki/Palais_des_Sports_de_Gerland
11 June 1976,Barcelona,Spain,Plaza de toros Monumental,https://en.wikipedia.org/wiki/La_Monumental
13 June 1976,Nice,France,France Parc Des Sports De Louest,
15 June 1976,ZÃ¼rich,Switzerland,Hallenstadion,https://en.wikipedia.org/wiki/Hallenstadion
16 June 1976,Munich,Germany,Olympiahalle,https://en.wikipedia.org/wiki/Olympiahalle
17 June 1976,Munich,Germany,Olympiahalle,https://en.wikipedia.org/wiki/Olympiahalle
19 June 1976,Stuttgart,Germany,Neckarstadion,https://en.wikipedia.org/wiki/Neckarstadion
21 June 1976,Zagreb,Yugoslavia,Dom Sportova,https://en.wikipedia.org/wiki/Dom_Sportova
22 June 1976,Zagreb,Yugoslavia,Dom Sportova,https://en.wikipedia.org/wiki/Dom_Sportova
23 June 1976,Vienna,Austria,Stadthalle,https://en.wikipedia.org/wiki/Wiener_Stadthalle
21 August 1976,Knebworth,England,Knebworth Fair,https://en.wikipedia.org/wiki/Concerts_at_Knebworth_House
