Date,City,Country,Venue,Url,Coordinates
10 June 1978,"Lakeland, Florida",United States,Lakeland Civic Center ,https://en.wikipedia.org/wiki/Lakeland_Civic_Center,"28.041053,-81.963619"
12 June 1978,Atlanta,United States,Fox Theatre ,https://en.wikipedia.org/wiki/Fox_Theatre_(Atlanta),"33.7725,-84.3855555556"
14 June 1978,"Passaic, New Jersey",United States,Capitol Theatre ,https://en.wikipedia.org/wiki/Capitol_Theatre_(Passaic),"40.86418,-74.1282"
15 June 1978,"Washington, D.C.",United States,Warner Theatre ,"https://en.wikipedia.org/wiki/Warner_Theatre_(Washington,_D.C.)","38.8963,-77.0292"
17 June 1978,Philadelphia,United States,JFK Stadium ,https://en.wikipedia.org/wiki/JFK_Stadium,"39.9014,-75.1719"
19 June 1978,New York City,United States,The Palladium ,https://en.wikipedia.org/wiki/Palladium_(music_venue),"40.7333111111,-73.9881555556"
21 June 1978,"Hampton, Virginia",United States,Hampton Roads Coliseum ,https://en.wikipedia.org/wiki/Hampton_Roads_Coliseum,"37.034725,-76.3813388889"
22 June 1978,"Myrtle Beach, South Carolina",United States,Myrtle Beach Convention Center ,https://en.wikipedia.org/wiki/Myrtle_Beach_Convention_Center,"33.7058333333,-78.8741666667"
26 June 1978,"Greensboro, North Carolina",United States,Greensboro Coliseum ,https://en.wikipedia.org/wiki/Greensboro_Coliseum,"36.0597222222,-79.8255555556"
28 June 1978,"Memphis, Tennessee",United States,Mid-South Coliseum ,https://en.wikipedia.org/wiki/Mid-South_Coliseum,"35.118395,-89.980366"
29 June 1978,"Lexington, Kentucky",United States,Rupp Arena ,https://en.wikipedia.org/wiki/Rupp_Arena,"38.0494444444,-84.5027777778"
1 July 1978,"Cleveland, Ohio",United States,Cleveland Stadium (World Series of Rock) ,https://en.wikipedia.org/wiki/Cleveland_Stadium,"41.5066666667,-81.6972222222"
4 July 1978,"Orchard Park, New York",United States,Rich Stadium ,https://en.wikipedia.org/wiki/Rich_Stadium,"42.774,-78.787"
6 July 1978,"Detroit, Michigan",United States,Masonic Hall ,https://en.wikipedia.org/wiki/Detroit_Masonic_Temple,"42.3414194444,-83.0601555556"
8 July 1978,Chicago,United States,Soldier Field ,https://en.wikipedia.org/wiki/Soldier_Field,"41.8623,-87.6167"
10 July 1978,"Saint Paul, Minnesota",United States,Saint Paul Civic Center ,https://en.wikipedia.org/wiki/Saint_Paul_Civic_Center,"44.9438888889,-93.0994444444"
11 July 1978,"St. Louis, Missouri",United States,Kiel Opera House ,https://en.wikipedia.org/wiki/Stifel_Theatre,"38.6277,-90.2019"
13 July 1978,"New Orleans, Louisiana",United States,Louisiana Superdome ,https://en.wikipedia.org/wiki/Louisiana_Superdome,"29.9508333333,-90.0811111111"
16 July 1978,"Boulder, Colorado",United States,Folsom Field ,https://en.wikipedia.org/wiki/Folsom_Field,"40.009,-105.267"
18 July 1978,"Fort Worth, Texas",United States,Will Rogers Memorial Center ,https://en.wikipedia.org/wiki/Will_Rogers_Memorial_Center,"32.7461111111,-97.3663888889"
19 July 1978,"Houston, Texas",United States,Sam Houston Coliseum ,https://en.wikipedia.org/wiki/Sam_Houston_Coliseum,"29.761453,-95.369546"
21 July 1978,"Tucson, Arizona",United States,Community Center ,https://en.wikipedia.org/wiki/Tucson_Convention_Center,"32.2183333333,-110.974166667"
23 July 1978,"Anaheim, California",United States,Anaheim Stadium ,https://en.wikipedia.org/wiki/Anaheim_Stadium,"33.8002777778,-117.882777778"
24 July 1978,"Anaheim, California",United States,Anaheim Stadium ,https://en.wikipedia.org/wiki/Anaheim_Stadium,"33.8002777778,-117.882777778"
26 July 1978,"Oakland, California",United States,Oakland Coliseum ,https://en.wikipedia.org/wiki/Oakland_Coliseum,"37.7516666667,-122.200555556"
22 April 1979,"Oshawa, Ontario ",Canada,Civic Auditorium ,https://en.wikipedia.org/wiki/Oshawa_Civic_Auditorium,"43.887795, -78.890998"
