title,date,position,url
Love Me Do,1962-05,1,https://www.youtube.com/watch?v=0pGOFX1D_jg
She Loves You,1963-08,1,https://www.youtube.com/watch?v=nGbWU8S3vzs
I Want To Hold Your Hand,1963-12,1,https://www.youtube.com/watch?v=v1HDt1tknTc
Can't Buy Me Love,1964-03,1,https://www.youtube.com/watch?v=h3WJiqc_bEs
A Hard Day's Night,1964-07,1,https://www.youtube.com/watch?v=AMSiHdrHl0g
I Feel Fine,1964-11,1,https://www.youtube.com/watch?v=xLBVgnZyuic
Eight Days A Week,1965-01,1,https://www.youtube.com/watch?v=XTfmuDjwQTw
Ticket To Ride,1965-09,1,https://www.youtube.com/watch?v=UHsN9d4FTVI
Help!,1965-01,1,https://www.youtube.com/watch?v=MKUex3fci5c
Yesterday,1965-09,1,https://www.youtube.com/watch?v=NrgmdOz227I
Day Tripper,1965-03,1,https://www.youtube.com/watch?v=2IbPn5j2YKk
Paperback Writer,1966-10,1,https://www.youtube.com/watch?v=SepZDSkY4Ro
Penny Lane,1967-02,1,https://www.youtube.com/watch?v=z7syIxQCquo
All You Need Is Love,1967-07,1,https://www.youtube.com/watch?v=4EGczv7iiEk
Hello Goodbye,1967-11,1,https://www.youtube.com/watch?v=P2C3f0Atcoo
Hey Jude,1968-08,1,https://www.youtube.com/watch?v=mQER0A0ej0M
Get Back,1969-04,1,https://www.youtube.com/watch?v=YEESfv-11ng
Something,1969-10,1,https://www.youtube.com/watch?v=MZ3Vh8jZFdE
Let It Be,1970-06,1,https://www.youtube.com/watch?v=HzvDofigTKQ
The Long And Winding Road,1970-05,1,https://www.youtube.com/watch?v=NR0u_qjq2fM
Twist And Shout,1964-03,2,https://www.youtube.com/watch?v=2RicaUqd9Hg
Do You Want To Know A Secret,1964-03,2,https://www.youtube.com/watch?v=uRQ7ecvU56k
Yellow Submarine,1966-05,2,https://www.youtube.com/watch?v=ztHxu-13UqI
Please Please Me,1963-12,3,https://www.youtube.com/watch?v=czw8eqepir8
Nowhere Man,1966-02,3,https://www.youtube.com/watch?v=8scSwaKbE64
Got To Get You Into My Life,1976-06,3,https://www.youtube.com/watch?v=r95-7zfgtLw
Lady Madonna,1968-03,4,https://www.youtube.com/watch?v=C56lDvKV8tk
Free As A Bird,1995-04,6,https://www.youtube.com/watch?v=ODIvONHPqpk
The Ballad Of John And Yoko,1969-05,8,https://www.youtube.com/watch?v=vzd_DfGGx0I
