name,title,date,position,url
Elton John,Crocodile Rock,1972-10,1,https://youtu.be/xw0EozkBWuI
Elton John,Benny And The Jets,1974-02,1,https://youtu.be/p5rQHoaQpTw
Elton John,Whatever Gets You Thru The Night (with John Lennon),1974-04,1,https://youtu.be/vjWebKavfuI
Elton John,Lucy In The Sky With Diamonds,1974-11,1,https://youtu.be/Ic2hlOwCif4
Elton John,Philadelphia Freedom,1975-02,1,https://youtu.be/gM4Xm2MGLNQ
Elton John,Someone Saved My Life Tonight,1975-06,1,https://youtu.be/VZRRd4bW91c
Elton John,Island Girl,1975-09,1,https://youtu.be/1M6onFt--iM
Elton John,Don't Go Breaking My Heart (with Kiki Dee),1976-06,1,https://youtu.be/z0qW9P-uYfM
Elton John,Don't Let The Sun Go Down On Me,1991-11,1,https://youtu.be/HY0n7RC_FEI
Elton John,Something About The Way You Look Tonight,1997-09,1,https://youtu.be/B93Tir6l5FA
Elton John,Goodbye Yellow Brick Road,1973-10,2,https://youtu.be/DDOL7iY8kfo
Elton John,Don't Let The Sun Go Down On Me,1974-05,2,https://youtu.be/QxuqWG-Hxgo
Elton John,I Don't Wanna Go On With You Like That,1988-05,2,https://youtu.be/kaJRvZZBnX8
Elton John,Little Jeannie,1980-04,3,https://youtu.be/Wlz6mTyiMZc
Elton John,The Bitch Is Back,1974-08,4,https://youtu.be/cdrFBwwWJ44
Elton John,I Guess That's Why They Call It The Blues,1983-10,4,https://youtu.be/h6KYAVn8ons
Elton John,Can You Feel The Love Tonight?,1994-04,4,https://youtu.be/KjgWWjkNbhU
Elton John,Sad Songs (Say So Much),1984-05,5,https://youtu.be/X23v5_K7cXk
Elton John,Rocket Man,1972-05,6,https://youtu.be/DtVBCG6ThDk
Elton John,Daniel,1973-12,6,https://youtu.be/UA78e27R_J4
Elton John,Sorry Seems To Be The Hardest Word,1976-10,6,https://youtu.be/c3nScN89Klo
Elton John,Candle In The Wind (live),1987-10,6,https://youtu.be/80rHyABCb20
Elton John,Nikita,1986-01,7,https://youtu.be/Tg-Q-Acv4qs
Elton John,Elton John,Your Song,1970-11,8,https://youtu.be/GlPlfCy1urI
Elton John,Honky Cat,1972-08,8,https://youtu.be/92s-MPAQBCU
Elton John,Grow Some Funk Of Your Own,1976-01,9,https://youtu.be/IWFL_FJss2M
Elton John,Mama Can't Buy You Love,1979-06,9,https://youtu.be/jAhJ3VVGETE
Elton John,The One,1992-05,9,https://youtu.be/85B_REWeNcM
Elton John,Blue Eyes,1982-03,10,https://youtu.be/4CiyKeSnSxk
