name,title,date,position,url
Elvis Presley,Heartbreak Hotel,1956-01,1,https://www.youtube.com/watch?v=e9BLw4W5KU8
Elvis Presley,Hound Dog,1956-07,1,https://www.youtube.com/watch?v=-eHJ12Vhpyc
Elvis Presley,Too Much,1957-01,1,https://www.youtube.com/watch?v=GPc8XNtlDk4
Elvis Presley,All Shook Up,1957-03,1,https://www.youtube.com/watch?v=23zLefwiii4
Elvis Presley,(Let Me Be Your) Teddy Bear,1957-05,1,https://www.youtube.com/watch?v=NkDbk-egHH4
Elvis Presley,Jailhouse Rock,1957-09,1,https://www.youtube.com/watch?v=PpsUOOfb-vE
Elvis Presley,Don't,1958-01,1,https://www.youtube.com/watch?v=8jbLez_LQyI
Elvis Presley,Hard Headed Woman,1958-06,1,https://www.youtube.com/watch?v=SuhzAixFydo
Elvis Presley,Big Hunk O'Love,1959-06,1,https://www.youtube.com/watch?v=VqyVe8tfLm0
Elvis Presley,Stuck On You,1960-03,1,https://www.youtube.com/watch?v=jVqR2PwX428
Elvis Presley,It's Now Or Never,1960-07,1,https://www.youtube.com/watch?v=Uwelrtb8Oho
Elvis Presley,Are You Lonesome Tonight,1960-01,1,https://www.youtube.com/watch?v=9XVdtX7uSnk
Elvis Presley,Surrender (Torna A Surriento),1961-02,1,https://www.youtube.com/watch?v=O3Bj9fQkvGo
Elvis Presley,Good Luck Charm,1962-03,1,https://www.youtube.com/watch?v=Z0gx4kPDW0w
Elvis Presley,Suspicious Minds,1969-09,1,https://www.youtube.com/watch?v=RxOBOhRECoo
Elvis Presley,Burning Love,1972-08,1,https://www.youtube.com/watch?v=zf2VYAtqRe0
Elvis Presley,Wear My Ring Round Your Neck,1958-03,2,https://www.youtube.com/watch?v=0DMrKkGnP6Y
Elvis Presley,(Now And Then There's) A Fool Such As I,1959-03,2,https://www.youtube.com/watch?v=-unOfZiTM_0
Elvis Presley,Can't Help Falling In Love,1961-11,2,https://www.youtube.com/watch?v=vGJTaP6anOU
Elvis Presley,Return To Sender,1962-10,2,https://www.youtube.com/watch?v=LZmUfUBqE-s
Elvis Presley,Peace In The Valley (For Me),1957-03,3,https://www.youtube.com/watch?v=SMD8d7oUjxw
Elvis Presley,(You're The) Devil In Disguise,1963-06,3,https://www.youtube.com/watch?v=emjLXdsj6xA
Elvis Presley,Crying In The Chapel,1965-04,3,https://www.youtube.com/watch?v=CYOUcV7nlN8
Elvis Presley,In The Ghetto,1969-04,3,https://www.youtube.com/watch?v=FJ-r0bilzhU
Elvis Presley,One Night,1958-10,4,https://www.youtube.com/watch?v=Hb18smk-GvA
Elvis Presley,(Marie's The Name) His Latest Flame,1961-08,4,https://www.youtube.com/watch?v=59pOE3OmUi8
Elvis Presley,Wild In The Country,1961-05,5,https://www.youtube.com/watch?v=ONNGi67wTvk
Elvis Presley,She's Not You,1962-07,5,https://www.youtube.com/watch?v=qZQwc0yUZIM
Elvis Presley,Don't Cry Daddy,1969-11,6,https://www.youtube.com/watch?v=w8YHBvX4QtM
Elvis Presley,Bossa Nova Baby,1963-10,8,https://www.youtube.com/watch?v=W0hTGwSME_U
Elvis Presley,The Wonder Of You (live),1970-05,9,https://www.youtube.com/watch?v=F5eEvfOyb7k
