name,title,date,position,url
Janet Jackson,When I Think Of You,1986-08,1,https://youtu.be/EaleKN9GQ54
Janet Jackson,Miss You Much,1989-08,1,https://youtu.be/IVF0zcqr9Dg
Janet Jackson,Escapade,1990-08,1,https://youtu.be/UFX3gQHIroU
Janet Jackson,Come Back To Me,1990-01,1,https://youtu.be/-5ecZWwO_hQ
Janet Jackson,Black Cat,1990-08,1,https://youtu.be/qH-rPt1ftSo
Janet Jackson,Love Will Never Do (Without You),1990-10,1,https://youtu.be/0KCvVsNstjE
Janet Jackson,That's The Way Love Goes,1993-04,1,https://youtu.be/2b_KfAGiglc
Janet Jackson,Again,1993-10,1,https://youtu.be/qUHtwV8wkOU
Janet Jackson,Together Again,1997-01,1,https://youtu.be/vfK5QhZ9u7o
Janet Jackson,Doesn't Really Matter,2000-07,1,https://youtu.be/7iJZosBX2L0
Janet Jackson,All For You,2001-09,1,https://youtu.be/xvkblzKP29g
Janet Jackson,Let's Wait Awhile,1987-01,2,https://youtu.be/o7jAP67iRJ8
Janet Jackson,Rhythm Nation,1989-10,2,https://youtu.be/OAwaNWGLM0c
Janet Jackson,If,1993-07,2,https://youtu.be/BTSd4vqnMwo
Janet Jackson,Any Time Any Place,1994-06,2,https://youtu.be/3HO9H1VMMOk
Janet Jackson,Nasty,1986-05,3,https://youtu.be/9zoA0L2u-JQ
Janet Jackson,Runaway,1995,3,https://youtu.be/bVwgj1B0z90
Janet Jackson,I Get Lonely (with Blackstreet),1998-03,3,https://youtu.be/sh7FVZZgVKQ
Janet Jackson,What's It Gonna Be (with Busta Rhymes),1999-03,3,https://youtu.be/-3KWdGGq4Qk
Janet Jackson,Someone To Call My Lover,2001-07,3,https://youtu.be/v2xLmhAo4NE
Janet Jackson,What Have You Done For Me Lately,1986-02,4,https://youtu.be/r9uizdKZAGE
Janet Jackson,Alright,1990-03,4,https://youtu.be/xS8PLb2CKKs
Janet Jackson,Control,1986,5,https://youtu.be/LH8xbDGv7oY
Janet Jackson,Diamonds (with Herb Alpert),1987-04,5,https://youtu.be/vsRA7BVj7iw
Janet Jackson,Scream,1995-06,5,https://youtu.be/0P4A1K4lXDo
Janet Jackson,You Want This,1994-07,8,https://youtu.be/utxsSg1n_SQ
Janet Jackson,The Best Things In Life Are Free (with Luther Vandross),1992-05,10,https://youtu.be/79SNvZi3ltE
Janet Jackson,Because Of Love,1994-02,10,https://youtu.be/XQybjKo4gMs
