name,title,date,position,url
Mariah Carey,Vision Of Love,1990-05,1,https://youtu.be/tov22NtCMC4
Mariah Carey,Love Takes Time,1990-09,1,https://youtu.be/FkDpwF6-QiA
Mariah Carey,Someday,1990-12,1,https://youtu.be/4RWfSUWVP2I
Mariah Carey,I Don't Wanna Cry,1991-03,1,https://youtu.be/QfG1qwl-Zho
Mariah Carey,Emotions,1991-08,1,https://youtu.be/NrJEFrth27Q
Mariah Carey,I'll Be There,1992-05,1,https://youtu.be/UIt3dx4an9c
Mariah Carey,Dreamlover,1993-02,1,https://youtu.be/CqBtS6BIP1E
Mariah Carey,Hero,1993-10,1,https://youtu.be/0IA3ZvCkRkQ
Mariah Carey,Fantasy,1995-09,1,https://youtu.be/qq09UkPRdFY
Mariah Carey,One Sweet Day (with Boyz II Men),1995-11,1,https://youtu.be/UXxRyNvTPr8
Mariah Carey,Always Be My Baby,1996-03,1,https://youtu.be/LfRNRymrv9k
Mariah Carey,Honey,1997-08,1,https://youtu.be/w3KOowB4k_k
Mariah Carey,My All,1998-09,1,https://youtu.be/mIhI23gBBPQ
Mariah Carey,Heartbreaker (with Jay-Z),1999-09,1,https://youtu.be/kMCGvtlL4fw
Mariah Carey,Thank God I've Found You (with 98 Degrees),2000-01,1,https://youtu.be/7KVxjQUCyn0
Mariah Carey,We Belong Together,2005-04,1,https://youtu.be/0habxsuXW4g
Mariah Carey,Don't Forget About Us,2005-10,1,https://youtu.be/8tZkzL4j3BU
Mariah Carey,Touch My Body,2008-02,1,https://youtu.be/9b8erWuBA44
Mariah Carey,Can't Let Go,1991-11,2,https://youtu.be/yU1knfz15xI
Mariah Carey,Make It Happen,1992-02,2,https://youtu.be/-Q6xx0JfMBI
Mariah Carey,Endless Love (with Luther Vandross),1994-05,2,https://youtu.be/Nu9RVPTpDyA
Mariah Carey,Loverboy,2001-07,2,https://youtu.be/IDM60CimbJw
Mariah Carey,Shake It Off,2005-07,2,https://youtu.be/jZVdDl_asYY
Mariah Carey,Without You,1994-07,3,https://youtu.be/Hat1Hc9SNwE
Mariah Carey,I Know What You Want (with Busta Rhymes),2003-03,3,https://youtu.be/WDaNJW_jEBo
Mariah Carey,All I Want for Christmas Is You,2018-11,3,https://youtu.be/yXQViqx6GMY
Mariah Carey,I Still Believe,1999-09,4,https://youtu.be/OAZG2duVte4
Mariah Carey,Obsessed,2009-07,7,https://youtu.be/H1Yt0xJKDY8
