title,date,position,url
What's My Name? (with Rihanna),2010-10,1,https://www.youtube.com/watch?v=U0CGsw6h60k
Work (with Rihanna),2016-01,1,https://www.youtube.com/watch?v=HL1UzIK-flA
One Dance and Kyla (with WizKid),2016-08,1,https://www.youtube.com/watch?v=iAbnEUA0wpA
God's Plan,2018-01,1,https://www.youtube.com/watch?v=xpVfcZ0ZcFM
Nice For What,2018-04,1,https://www.youtube.com/watch?v=U9BwWKXjVaI
In My Feelings,2018-06,1,https://www.youtube.com/watch?v=DRS_PpOrUZ4
Best I Ever Had,2009-05,2,https://www.youtube.com/watch?v=Zfp3KfYH0xA
Hotline Bling,2015-08,2,https://www.youtube.com/watch?v=uxpDa-c-4Mc
Nonstop,2018-06,2,https://www.youtube.com/watch?v=lJTRVX9R5EA
She Will (with Lil' Wayne),2011-08,3,https://www.youtube.com/watch?v=_7nYuyfkjCk
Hold On We're Going Home (with Majid Jordan),2013-08,4,https://www.youtube.com/watch?v=GxgqpCdOKak
Find Your Love,2010-05,5,https://www.youtube.com/watch?v=Xyv4Bjja8yc
Look Alive (with BlocBoy JB),2018-02,5,https://www.youtube.com/watch?v=NV-3s2wwC8c
MIA (with Bad Bunny),2018-10,5,https://www.youtube.com/watch?v=OSUxrSe5GbI
Right Above It (with Lil' Wayne),2010-08,6,https://www.youtube.com/watch?v=CHZtMNbrmWE
Started From The Bottom,2013-02,6,https://www.youtube.com/watch?v=RubBzkZzpUA
Summer Sixteen,2016-01,6,https://www.youtube.com/watch?v=LmbC_aqI4no
Yes Indeed (with Lil Baby),2018-05,6,https://www.youtube.com/watch?v=AbEHRrq7xwU
Going Bad (with Meek Mill),2018-12,6,https://www.youtube.com/watch?v=S1gp0m4B5p8
Take Care (with Rihanna),2011-11,7,https://www.youtube.com/watch?v=-zzP29emgpg
Diplomatic Immunity,2018-01,7,https://www.youtube.com/watch?v=c57SJmqpp5g
I'm Upset,2018-05,7,https://www.youtube.com/watch?v=rIhx2wZ8jnA
Money In The Grave (with Rick Ross),2019-06,7,https://www.youtube.com/watch?v=b3lH6CULHD0
Forever (with Lil Wayne and Eminem),2009-09,8,https://www.youtube.com/watch?v=eDuRoPIOBjE
Fuckin' Problems (with 2 Chainz Kendrick Lamar and A$ap Rocky),2012-11,8,https://www.youtube.com/watch?v=liZm1im2erU
Fake Love,2016-10,8,https://www.youtube.com/watch?v=k9o6HN9pQXY
Passionfruit,2017-03,8,https://www.youtube.com/watch?v=COz9lDCFHjw
Emotionless,2018-06,8,https://www.youtube.com/watch?v=qIXhOXfx-qY
Make Me Proud (with Nicki Minaj),2011-10,9,https://www.youtube.com/watch?v=0P_-ol5E0j8
Love Me (with Future and Lil Wayne),2013-01,9,https://www.youtube.com/watch?v=KY44zvhWhp4
Portland (with Travis Scott and Quavo),2017-03,9,https://www.youtube.com/watch?v=wg1rQdwiB2A
Don't Matter To Me (with Michael Jackson),2018-06,9,https://www.youtube.com/watch?v=cY5qcEyUZfE
No Guidance (with Chris Brown),2019-06,9,https://www.youtube.com/watch?v=6L_k74BOLag
I'm On One (with Rick Ross Lil Wayne and DJ Khaled),2011-05,10,https://www.youtube.com/watch?v=Z09lYqdxqzo
Walk It Talk It (with Migos),2018-01,10,https://www.youtube.com/watch?v=fGqdIPer-ms
