title,date,position,url
Heartbreak Hotel,1956-01,1,https://www.youtube.com/watch?v=e9BLw4W5KU8
Hound Dog,1956-07,1,https://www.youtube.com/watch?v=-eHJ12Vhpyc
Too Much,1957-01,1,https://www.youtube.com/watch?v=GPc8XNtlDk4
All Shook Up,1957-03,1,https://www.youtube.com/watch?v=23zLefwiii4
(Let Me Be Your) Teddy Bear,1957-05,1,https://www.youtube.com/watch?v=NkDbk-egHH4
Jailhouse Rock,1957-09,1,https://www.youtube.com/watch?v=PpsUOOfb-vE
Don't,1958-01,1,https://www.youtube.com/watch?v=8jbLez_LQyI
Hard Headed Woman,1958-06,1,https://www.youtube.com/watch?v=SuhzAixFydo
Big Hunk O'Love,1959-06,1,https://www.youtube.com/watch?v=VqyVe8tfLm0
Stuck On You,1960-03,1,https://www.youtube.com/watch?v=jVqR2PwX428
It's Now Or Never,1960-07,1,https://www.youtube.com/watch?v=Uwelrtb8Oho
Are You Lonesome Tonight,1960-01,1,https://www.youtube.com/watch?v=9XVdtX7uSnk
Surrender (Torna A Surriento),1961-02,1,https://www.youtube.com/watch?v=O3Bj9fQkvGo
Good Luck Charm,1962-03,1,https://www.youtube.com/watch?v=Z0gx4kPDW0w
Suspicious Minds,1969-09,1,https://www.youtube.com/watch?v=RxOBOhRECoo
Burning Love,1972-08,1,https://www.youtube.com/watch?v=zf2VYAtqRe0
Wear My Ring Round Your Neck,1958-03,2,https://www.youtube.com/watch?v=0DMrKkGnP6Y
(Now And Then There's) A Fool Such As I,1959-03,2,https://www.youtube.com/watch?v=-unOfZiTM_0
Can't Help Falling In Love,1961-11,2,https://www.youtube.com/watch?v=vGJTaP6anOU
Return To Sender,1962-10,2,https://www.youtube.com/watch?v=LZmUfUBqE-s
Peace In The Valley (For Me),1957-03,3,https://www.youtube.com/watch?v=SMD8d7oUjxw
(You're The) Devil In Disguise,1963-06,3,https://www.youtube.com/watch?v=emjLXdsj6xA
Crying In The Chapel,1965-04,3,https://www.youtube.com/watch?v=CYOUcV7nlN8
In The Ghetto,1969-04,3,https://www.youtube.com/watch?v=FJ-r0bilzhU
One Night,1958-10,4,https://www.youtube.com/watch?v=Hb18smk-GvA
(Marie's The Name) His Latest Flame,1961-08,4,https://www.youtube.com/watch?v=59pOE3OmUi8
Wild In The Country,1961-05,5,https://www.youtube.com/watch?v=ONNGi67wTvk
She's Not You,1962-07,5,https://www.youtube.com/watch?v=qZQwc0yUZIM
Don't Cry Daddy,1969-11,6,https://www.youtube.com/watch?v=w8YHBvX4QtM
Bossa Nova Baby,1963-10,8,https://www.youtube.com/watch?v=W0hTGwSME_U
The Wonder Of You (live),1970-05,9,https://www.youtube.com/watch?v=F5eEvfOyb7k
