Vision Of Love,5/1990,1
Love Takes Time,9/1990,1
Someday,12/1990,1
I Don't Wanna Cry,3/1991,1
Emotions,8/1991,1
I'll Be There,5/1992,1
Dreamlover,02.08.1993,1
Hero,25.10.1993,1
Fantasy,18.09.1995,1
One Sweet Day (with Boyz II Men),27.11.1995,1
Always Be My Baby,3/1996,1
Honey,25.08.1997,1
My All,09.06.1998,1
Heartbreaker (with Jay-Z),21.09.1999,1
Thank God I've Found You (with 98 Degrees),25.01.2000,1
We Belong Together,4/2005,1
Don't Forget About Us,10/2005,1
Touch My Body,2/2008,1
Can't Let Go,11/1991,2
Make It Happen,2/1992,2
Endless Love (with Luther Vandross),05.09.1994,2
Loverboy,17.07.2001,2
Shake It Off,7/2005,2
Without You,07.02.1994,3
I Know What You Want,17.03.2003,3
All I Want for Christmas Is You,11/2018,3
I Still Believe,09.02.1999,4
Obsessed,7/2009,7
