"Fingertips, Part 2",6/1963,1
Superstition,10/1972,1
You Are The Sunshine Of My Life,3/1973,1
You Haven't Done Nothin',7/1974,1
Boogie On Reggae Woman,11/1974,1
I Wish,26.11.1976,1
Sir Duke,25.03.1977,1
That Girl,15.01.1982,1
Ebony And Ivory (with Paul McCartney),05.04.1982,1
I Just Called To Say I Love You / I Just Called To Say I Love You,10.08.1984,1
Part Time Lover,8/1985,1
I Was Made To Love Her,6/1967,2
For Once In My Life,10/1968,2
Uptight (Everything's Alright),12/1965,3
"Signed, Sealed, Delivered (I'm Yours)",6/1970,3
My Cherie Amour,5/1969,4
Higher Ground,8/1973,4
Send One Your Love,10/1979,4
Masterblaster (Jammin'),01.09.1980,5
"Yester-Me, Yester-You, Yesterday",10/1969,7
If You Really Love Me,8/1971,8
Living For The City,11/1973,8
Blowin' In The Wind,7/1966,9
A Place In The Sun,10/1966,9
Shooby Dooby Do Dah Deh,3/1968,9
Heaven Help Us All,10/1970,9
Don't You Worry 'Bout The Thing,3/1974,10
Go Home,11/1985,10
