name,title,date,position,url
Taylor Swift,We Are Never Ever Getting Back Together,2012-08,1,https://youtu.be/WA4iX5D9Z64
Taylor Swift,Shake It Off,2014-08,1,https://youtu.be/nfWlot6h_JM
Taylor Swift,Blank Space,2014-10,1,https://youtu.be/e-ORhEE9VVg
Taylor Swift,Bad Blood (with Kendrick Lamar),2014-10,1,https://youtu.be/QcIy9NiNbmo
Taylor Swift,Look What You Made Me Do,2017-08,1,https://youtu.be/3tmd-ClpJxA
Taylor Swift,You Belong With Me,2018-11,2,https://youtu.be/VuNIsY6JdUw
Taylor Swift,Today Was A Fairytale,2010-01,2,https://youtu.be/wUqnrjSFXtE
Taylor Swift,I Knew You Were Trouble,2012-10,2,https://youtu.be/vNoKguSdy4Y
Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker) (with Zayn),2016-09,2,https://youtu.be/7F37r50VUTQ
Taylor Swift,You Need To Calm Down,2019-06,2,https://youtu.be/Dkk9gvTmCXY
Taylor Swift,Mine,2010-08,3,https://youtu.be/XPBwXKgDTdE
Taylor Swift,Love Story,2018-09,4,https://youtu.be/8xg3vE8Ie_E
Taylor Swift,...Ready For It,2017-09,4,https://youtu.be/wIft-t-MQuE
Taylor Swift,Wildest Dreams,2017-10,5,https://youtu.be/IdneKLhsWOQ
Taylor Swift,Back To December,2010-10,6,https://youtu.be/QUwxKWT6m7U
Taylor Swift,Red,2012-10,6,https://youtu.be/Zlot0i3Zykw
Taylor Swift,Style,2014-10,6,https://youtu.be/-CmadmM5cOk
Taylor Swift,Begin Again,2012-09,7,https://youtu.be/cMPEd8m79Hw
Taylor Swift,Speak Now,2010-10,8,https://youtu.be/zlWMJbbLyA0
Taylor Swift,Beautiful Eyes,2008-07,9,https://youtu.be/SnGJGrlSNko
Taylor Swift,Fearless,2008-10,9,https://youtu.be/HECGF_dRwdk
Taylor Swift,Change,2008-08,10,https://youtu.be/B1jYllE0T-k
Taylor Swift,Jump Then Fall,2009-10,10,https://youtu.be/bZwdYrs9ExE
Taylor Swift,If This Was A Movie,2011-11,10,https://youtu.be/Bqj9EIgSy28
